Peer closed connection.
Connecting to 127.0.0.1:7497 clientId=80 ...
Subscribing to 7 scanner(s) in parallel: TOP_PERC_GAIN, TOP_OPEN_PERC_GAIN, HOT_BY_VOLUME, TOP_STOCK_BUY_IMBALANCE_ADV_RATIO, TOP_VOLUME_RATE, HOT_BY_OPT_VOLUME, HALTED
Observing until 15:58 ET — Ctrl-C to stop early.
[13:00:32] TOP_PERC_GAIN(20)·MWC,POEL,IMVT | TOP_OPEN_PERC_GAIN(0) | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·GGT PRE,ALRG,EEMO | TOP_VOLUME_RATE(20)·PLTD,MWC,SOXS | HOT_BY_OPT_VOLUME(20)·PPH,ORBX,IGLD | HALTED(1)·OPTH
[13:01:02] TOP_PERC_GAIN(20)·MWC,POEL,IMVT | TOP_OPEN_PERC_GAIN(0) | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·GGT PRE,ALRG,EEMO | TOP_VOLUME_RATE(20)·MWC,PLTD,SOXS | HOT_BY_OPT_VOLUME(20)·PPH,ORBX,IGLD | HALTED(1)·OPTH
[13:01:32] TOP_PERC_GAIN(20)·MWC,POEL,IMVT | TOP_OPEN_PERC_GAIN(0) | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·GGT PRE,ALRG,EEMO | TOP_VOLUME_RATE(20)·BB,MWC,CCL | HOT_BY_OPT_VOLUME(20)·PPH,ORBX,IGLD | HALTED(1)·OPTH
[13:02:02] TOP_PERC_GAIN(20)·MWC,POEL,IMVT | TOP_OPEN_PERC_GAIN(0) | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·GGT PRE,ALRG,EEMO | TOP_VOLUME_RATE(20)·QQQI,BB,MWC | HOT_BY_OPT_VOLUME(20)·ORBX,IGLD,MSGE | HALTED(1)·OPTH
[13:02:32] TOP_PERC_GAIN(20)·MWC,POEL,IMVT | TOP_OPEN_PERC_GAIN(0) | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·GGT PRE,ALRG,EEMO | TOP_VOLUME_RATE(20)·MWC,QQQI,BB | HOT_BY_OPT_VOLUME(0) | HALTED(1)·OPTH
[13:03:02] TOP_PERC_GAIN(20)·MWC,POEL,IMVT | TOP_OPEN_PERC_GAIN(0) | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·GGT PRE,ALRG,EEMO | TOP_VOLUME_RATE(20)·MWC,SOXS,QQQI | HOT_BY_OPT_VOLUME(0) | HALTED(1)·OPTH
[13:03:32] TOP_PERC_GAIN(20)·MWC,POEL,IMVT | TOP_OPEN_PERC_GAIN(0) | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·GGT PRE,ALRG,EEMO | TOP_VOLUME_RATE(20)·MWC,TZA,SOXS | HOT_BY_OPT_VOLUME(0) | HALTED(1)·OPTH
[13:04:02] TOP_PERC_GAIN(20)·MWC,POEL,IMVT | TOP_OPEN_PERC_GAIN(0) | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·GGT PRE,ALRG,EEMO | TOP_VOLUME_RATE(20)·BOIL,MWC,TZA | HOT_BY_OPT_VOLUME(0) | HALTED(1)·OPTH
[13:04:32] TOP_PERC_GAIN(20)·MWC,POEL,IMVT | TOP_OPEN_PERC_GAIN(0) | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·GGT PRE,ALRG,EEMO | TOP_VOLUME_RATE(20)·MWC,CCL,POET | HOT_BY_OPT_VOLUME(0) | HALTED(1)·OPTH
[13:05:02] TOP_PERC_GAIN(20)·MWC,POEL,IMVT | TOP_OPEN_PERC_GAIN(0) | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·GGT PRE,ALRG,EEMO | TOP_VOLUME_RATE(20)·MWC,DRAM,BOIL | HOT_BY_OPT_VOLUME(0) | HALTED(1)·OPTH
[13:05:33] TOP_PERC_GAIN(20)·MWC,POEL,IMVT | TOP_OPEN_PERC_GAIN(0) | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·GGT PRE,ALRG,EEMO | TOP_VOLUME_RATE(20)·MWC,BOIL,SOXS | HOT_BY_OPT_VOLUME(0) | HALTED(1)·OPTH
[13:06:03] TOP_PERC_GAIN(20)·MWC,POEL,IMVT | TOP_OPEN_PERC_GAIN(0) | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·GGT PRE,ALRG,EEMO | TOP_VOLUME_RATE(20)·PUMP,MWC,BOIL | HOT_BY_OPT_VOLUME(0) | HALTED(1)·OPTH
[13:06:33] TOP_PERC_GAIN(20)·MWC,POEL,IMVT | TOP_OPEN_PERC_GAIN(0) | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·GGT PRE,ALRG,EEMO | TOP_VOLUME_RATE(20)·PUMP,MWC,RXRX | HOT_BY_OPT_VOLUME(0) | HALTED(1)·OPTH
[13:07:03] TOP_PERC_GAIN(20)·MWC,POEL,IMVT | TOP_OPEN_PERC_GAIN(0) | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·GGT PRE,ALRG,EEMO | TOP_VOLUME_RATE(20)·MWC,PUMP,RXRX | HOT_BY_OPT_VOLUME(0) | HALTED(1)·OPTH
[13:07:33] TOP_PERC_GAIN(20)·MWC,POEL,IMVT | TOP_OPEN_PERC_GAIN(0) | HOT_BY_VOLUME(20)·PPBT,SUGP,MWC | TOP_STOCK_BUY_IMBALANCE_ADV_RATIO(20)·GGT PRE,ALRG,EEMO | TOP_VOLUME_RATE(20)·MWC,CCL,PUMP | HOT_BY_OPT_VOLUME(0) | HALTED(1)·OPTH
